Zip code,Home value,House hold income,Pcic another form of income,Family,Homeowner,Marries,College
01001,7557,45362.5926,3949,3168,5061,18.892003100960107,39.519351183731885
01002,10388,67104.8884,14375,3669,4561,12.630383145719302,10.840304313401495
01005,2044,48996.8566,1121,1047,1669,20.614294152392205,41.28765505020674
01007,5839,57200.5459,3707,3234,4590,22.07659225885726,30.97822376954058
01008,586,51004.3058,296,316,439,25.01979414093428,37.29216152019003
01009,341,35418.7944,198,131,188,17.67881241565452,39.8110661268556
01010,1598,53849.7404,928,851,1188,23.579939041285673,29.371016902188973
01011,659,41554.9272,316,295,471,21.532846715328464,48.9051094890511
01012,343,43875.9919,162,143,193,21.6338880484115,34.34190620272315
01013,10246,31045.8931,4575,3287,4027,14.175435570122477,34.6644816284285
01020,13688,36967.9682,6244,5249,8158,17.6924632600782,42.29135769178913
01022,1209,38527.1214,462,334,1059,13.627090983272133,37.250101999184004
01026,513,45487.548,253,202,377,21.353065539112052,38.90063424947146
01027,8311,45050.9896,4444,3451,4995,19.54133635334088,39.75651189127973
01028,6106,65289.9565,3328,3554,5080,22.608142493638677,33.20610687022901
01029,1078,69754.9074,92,201,258,25.475285171102662,39.29024081115336
01030,4582,50691.8285,2396,2593,3563,22.22127003170794,35.25580598166081
01031,596,35441.5603,272,249,336,19.03669724770642,46.71253822629969
01032,363,47807.6796,147,114,233,20.0,37.719298245614034
01033,2454,51270.0703,1223,1408,2094,22.611209250040147,39.29661153043199
01034,1145,57576.4111,543,479,733,23.701138050470064,39.13904007916873
01035,2230,54296.5082,1260,996,1424,18.97142857142857,28.17142857142857
01036,1937,63739.0366,1248,1248,1740,24.427480916030532,32.883147386964175
01037,253,57910.0128,181,163,213,19.451073985680193,24.463007159904535
01038,1181,55715.2542,570,579,934,22.75049115913556,35.952848722986246
01039,640,64828.8413,397,263,559,19.68562874251497,37.87425149700599
01040,16384,31951.1251,7957,4691,6453,11.762788365095286,30.606820461384153
01050,1167,46417.7296,489,551,769,21.77865612648221,43.16205533596838
01053,636,59575.3608,326,255,461,15.133531157270031,39.762611275964396
01054,811,77630.4594,522,414,646,22.366288492706644,16.85575364667747
01056,8383,46051.0947,4161,4313,6339,20.437852438041983,39.82846040847273
01057,3470,50274.3891,2218,1859,2838,21.783454417623624,39.196156550269514
01060,7307,54691.0101,5705,1779,2841,11.639623135304895,19.09186076943209
01062,4784,54505.8854,2502,2113,3384,18.95067264573991,21.739910313901344
01068,711,56206.5292,451,467,585,24.55310199789695,31.125131440588856
01069,3779,41522.9309,1943,1673,2413,19.754398394143347,44.01936474200024
01070,320,40561.1655,190,141,230,22.416534181240063,34.49920508744038
01071,638,48210.8996,280,363,524,22.74436090225564,39.473684210526315
01072,748,52935.2148,442,310,533,20.974289580514206,18.876860622462786
01073,2337,62257.948,1281,1411,1898,24.361187845303867,33.33908839779006
01074,132,31648.9914,0,42,30,13.166144200626958,6.896551724137931
01075,7162,52630.6734,5512,3208,5373,18.303189364979747,29.811148513721687
01077,3916,59410.021,2250,2099,2932,22.090086297621554,35.63460324142286
01079,325,35748.78,142,117,133,16.907514450867055,41.040462427745666
01080,1093,33705.7859,482,384,650,16.452442159383033,35.432733504712935
01081,820,42080.2563,365,357,586,21.024734982332156,45.34746760895171
01082,4768,40402.7579,2313,1955,3252,18.940127882193373,45.56287541174191
01083,1270,39214.9712,425,537,663,18.594182825484765,44.84072022160665
01084,88,49841.3562,62,44,88,25.0,38.63636363636363
01085,16363,48094.7479,9496,7734,10332,18.80973806454751,31.719240216941895
01088,357,49246.6833,53,130,237,19.402985074626866,37.46268656716418
01089,12697,46123.0575,6265,5080,6911,17.89299425874397,34.803282730442746
01092,591,37189.4443,152,231,333,16.571018651362984,32.42467718794835
01093,156,67304.5,111,81,91,24.923076923076923,18.76923076923077
01094,171,38931.2374,49,68,95,19.37321937321937,45.01424501424501
01095,5535,78820.9174,3662,3463,4898,24.184649766045116,28.29806550736783
01096,1029,56268.5269,476,509,782,22.95895354082093,37.122237257555255
01097,40,22030.566,41,10,14,9.00900900900901,34.234234234234236
01098,610,48503.8555,285,274,444,24.88646684831971,33.96911898274296
01103,1661,24055.2623,472,146,183,5.889471561113352,22.54941508672852
01104,9381,26377.6161,4519,2681,4463,11.72534441285808,34.310080909687294
01105,5586,16098.5217,2231,634,410,5.133603238866397,25.27125506072874
01106,6107,130090.1556,3430,3916,5217,24.442918669246612,17.433368703576555
01107,4252,21854.7417,1979,982,1023,8.457497200930153,21.910257514425975
01108,10992,30173.7662,5767,2861,3846,10.72017386091127,27.656624700239806
01109,10818,24159.19,6898,2621,4580,8.664462809917357,30.895867768595043
01118,5911,43218.2485,2362,2457,4325,17.461445526259684,32.85480776064246
01119,5185,34708.3176,3329,1905,3613,13.460994912379876,32.28518937252685
01128,1077,46760.9789,659,612,950,23.261117445838085,37.81832003040669
01129,2982,40967.5254,1489,1281,2292,18.250463028921498,36.073514745690275
01151,3699,27445.327,1529,997,1369,11.462405150609335,34.18027132674178
01201,22443,42515.4847,11345,7868,12564,16.918974711852744,39.491226561156026
01220,4434,35618.9137,2045,1585,2484,18.423805649192143,41.508776008369175
01222,361,37295.1154,237,174,317,20.989143546441497,32.32810615199035
01223,1986,47200.6231,631,553,921,23.89801210025929,39.15298184961106
01224,81,41728.375,61,36,71,19.78021978021978,17.032967032967033
01225,1466,45384.1445,706,727,1090,23.3237086942573,45.36413217837664
01226,2993,53296.813,1982,1424,2108,20.503959683225343,36.933045356371494
01229,61,46951.2813,26,21,35,22.105263157894736,46.31578947368421
01230,4633,55831.957,2467,1537,2167,18.23250296559905,30.106761565836297
01235,1507,46416.6057,733,623,1070,22.5234996384671,46.09544468546638
01236,784,45102.7688,554,312,487,20.675944333996025,32.20675944333996
01237,1334,55014.59,587,564,813,22.596153846153847,37.940705128205124
01238,3155,48785.9415,1835,1278,1982,21.134446833140398,36.21630560608566
01240,2920,73800.2742,1116,929,1406,20.489633877370974,30.723423026025586
01242,214,40145.7771,55,98,67,20.588235294117645,10.92436974789916
01243,188,59887.6328,90,91,151,27.245508982035926,58.38323353293413
01244,84,53430.6947,46,30,60,19.867549668874172,21.192052980132452
01245,914,62227.8922,174,236,246,23.95939086294416,30.96446700507614
01247,7785,30199.4299,4527,2643,3919,16.429415055634987,40.15664822527506
01253,568,48264.6848,176,192,271,26.265389876880985,43.09165526675787
01254,591,128030.4446,213,262,369,26.954732510288064,32.71604938271605
01255,671,43507.4216,214,210,335,22.950819672131146,35.19125683060109
01256,357,41325.5097,135,166,272,23.98843930635838,43.93063583815029
01257,1231,55549.4468,556,469,733,22.112211221122113,43.988684582743986
01258,338,68819.2784,102,87,146,23.262032085561497,33.68983957219251
01259,431,63444.5731,172,167,225,26.299212598425196,29.448818897637796
01260,134,39318.5541,79,46,65,19.166666666666668,45.0
01262,1068,79260.1667,245,221,350,17.851373182552503,37.56058158319871
01264,109,83230.229,53,32,55,23.357664233576642,29.1970802919708
